MG_UID	Sample	Station	Latitude	Longitude	Depth	Biome	Region	Province	Temperature	Nitrogen	Ammonium_5m	Nitrate	Nitrate_5m	Nitrite	Nitrite_5m	Nitrate_Nitrite	Phosphate	Silicate	Iron_5m	Oxygen	Salinity	Sigma_Theta	Chlorophyll_A	POC	PIC	Residence_Time	Conductivity	PAR_1_1	PAR_1_8	PAR_1_30	Season	Season_Stage	Distance_From_Coast	Angular_Scattering_Coefficient	Optical_Backscattering_Coefficient	Backscattering_Coefficient_of_Particles	Fluorescence	Optical_Beam_Attenuation_Coefficient	Beam_Attenuation_Coefficient_of_Particles	Sunshine_Duration	Sea_Ice_Concentration	Sea_Ice_Free_Period.	Sample_Accession_Number	Ecological_Zone
ERR599368	111_MES	TARA_111	-16.9486	-100.6715	350	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	10.69894	NA	0.013075565	29.923223	7.843671242	0.01	0.043491448	NA	2.73	NA	3.007e-06	4.7047	34.7072	26.609085	36.7242	42.42976761	0.00022155	34.305556	38.619567	NA	NA	NA	autumn	late	915.2628	0.000253	6.3e-05	0.001746	3.306498	0.0254	0.004176	671	0	365	ERS492399	TT_MES
ERR599357	111_SRF	TARA_111	-16.9601	-100.6335	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	22.78183	NA	0.013075565	3.149999	7.843671242	0.04	0.043491448	2.676	0.5	1.0325	3.007e-06	209.1003	35.98269	24.742485	40.0773	43.12891006	0.000225242	34.305556	52.035722	15.111047	21.475296	20.341885	autumn	late	1067.5202	0.000368	0.000885	0.002544	1.775215	0.094739	0.073211	671	0	365	ERS492342	TT_EPI
ERR599377	122_DCM	TARA_122	-9.0063	-139.1394	115	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	24.661385	NA	0.030111594	3.213808	6.207147837	0.1	0.087558472	2.67775	0.59	1.907042	2.316e-06	178.3692	36.101175	24.2843	45.3044	43.59589767	0.000110317	15.833333	54.238216	0.009886	0.009956	0.009166	winter	middle	29.6602	0.000313	0.000505	0.002163	1.880646	0.053485	0.044362	702	0	365	ERS492714	TT_EPI
ERR599341	122_MES	TARA_122	-8.9729	-139.2393	600	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	7.133995	NA	0.030111594	41.697487	6.207147837	0.02	0.087558472	NA	2.43	NA	2.316e-06	40.6107	34.5789	27.07634	52.2311	42.27088737	0.000125267	15.833333	35.294536	NA	NA	NA	winter	middle	33.3605	0.00026	9.4e-05	0.001795	3.112808	0.01275	0.003627	702	0	365	ERS492692	TT_MES
ERR599380	122_SRF	TARA_122	-8.9971	-139.1963	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	26.60467	NA	0.030111594	5.660372	6.207147837	0.12	0.087558472	5.456	0.57	2.1905	2.316e-06	187.07695	35.37032	23.122935	39.197	41.59049606	0.000125815	15.833333	55.270298	28.45742	28.026826	26.526487	winter	early	4.603	0.000327	0.000605	0.002255	1.574452	0.070035	0.060791	701	0	365	ERS492657	TT_EPI
ERR599348	123_MIX	TARA_123	-8.9109	-140.2845	150	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	21.97372	NA	0.02508309	5.004597	6.231764158	NA	0.054778114	5.44175	NA	1.18375	2.277e-06	158.18405	35.877315	24.895825	34.0341	77.0915184	0.000143744	1.083333	51.121429	NA	5e-06	5e-06	winter	middle	5.9764	0.000269	0.000202	0.001861	1.955839	0.030607	0.019922	704	0	365	ERS492797	TT_EPI
ERR599381	123_SRF	TARA_123	-8.9068	-140.283	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	26.586685	NA	0.02508309	4.805128	6.231764158	0.14	0.054778114	4.9015	0.53	2.2205	2.277e-06	189.6701	35.3551	23.11712	42.7934	77.0915184	0.000143744	1.083333	55.230397	NA	23.435565	22.861011	winter	middle	2.4728	0.000344	0.000726	0.002377	1.63837	0.109217	0.090418	703	0	365	ERS492748	TT_EPI
ERR599367	124_MIX	TARA_124	-9.0714	-140.5973	120	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	24.81397	NA	0.023188621	4.148328	6.232079824	NA	0.052577804	1.19925	NA	1.469	2.459e-06	172.42475	35.907345	24.092785	33.7078	71.37910843	0.000164031	2.777778	54.148205	2e-05	4.7e-05	5.3e-05	winter	middle	46.8174	0.000295	0.000382	0.002039	1.908626	0.049681	0.035074	705	0	365	ERS492877	TT_EPI
ERR599354	124_SRF	TARA_124	-9.1504	-140.5216	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	26.572419	NA	0.023188621	4.965553	6.232079824	0.16	0.052577804	6.2015	0.63	2.53325	2.459e-06	190.378187	35.384031	23.143631	40.0394	73.13096237	0.000165428	2.777778	55.255253	24.609687	23.731942	23.768135	winter	middle	36.1359	0.000375	0.000939	0.00259	1.628674	0.122752	0.108145	704	0	365	ERS492843	TT_EPI
ERR599338	125_MIX	TARA_125	-8.8999	-142.5461	140	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	23.681605	NA	0.01748565	3.583718	6.146822453	NA	0.02433348	3.47525	NA	1.24575	2.359e-06	160.81445	36.28145	24.715135	36.2207	55.34723282	8.75e-05	0	53.440919	5.9e-05	5.8e-05	5.8e-05	winter	middle	230.753	0.00027	0.000202	0.001863	1.897657	0.030487	0.018793	707	0	365	ERS492941	TT_EPI
