MG_UID	Sample	Station	Latitude	Longitude	Depth	Biome	Region	Province	Temperature	Nitrogen	Ammonium_5m	Nitrate	Nitrate_5m	Nitrite	Nitrite_5m	Nitrate_Nitrite	Phosphate	Silicate	Iron_5m	Oxygen	Salinity	Sigma_Theta	Chlorophyll_A	POC	PIC	Residence_Time	Conductivity	PAR_1_1	PAR_1_8	PAR_1_30	Season	Season_Stage	Distance_From_Coast	Angular_Scattering_Coefficient	Optical_Backscattering_Coefficient	Backscattering_Coefficient_of_Particles	Fluorescence	Optical_Beam_Attenuation_Coefficient	Beam_Attenuation_Coefficient_of_Particles	Sunshine_Duration	Sea_Ice_Concentration	Sea_Ice_Free_Period.	Sample_Accession_Number	Ecological_Zone
ERR2762138	188_DCM	TARA_188	78.3555	91.6084	17	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-1.647244	-0.69	0.002257904	NA	4.442976594	0.124	0.010750825	1.227	0.307592	0.851791	0.001304139	373.061	33.436706	26.906337	16.1385	NA	NA	0	26.50705	NA	NA	NA	summer	middle	112.7778	0.000612	0.002469	0.004228	2.982844	0.322439	0.273945	1440	46.51916606	0	ERS1309076	ARC
ERR2762140	188_SRF	TARA_188	78.2518	91.8557	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-1.649738	-0.7	0.002257904	NA	4.442976594	0.074	0.010750825	0.513	0.216027	0.465648	0.001304139	388.303875	32.950844	26.511331	16.1385	NA	NA	0	26.158029	NA	NA	NA	summer	middle	112.7778	0.000593	0.002346	0.0041	2.853854	0.337956	0.289462	1440	46.51916606	0	ERS1309035	ARC
ERR2762142	189_DCM	TARA_189	77.9668	116.6556	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-0.607125	0.54	0.000620584	NA	4.560707092	NA	0.00842355	NA	NA	NA	0.001270051	371.05845	32.726735	26.29815	28.4383	NA	NA	0	26.870424	NA	NA	NA	summer	late	182.5206	0.000412	0.001108	0.00285	4.162668	0.241593	0.188585	1217	0	284	ERS1309171	ARC
ERR2762144	189_MES	TARA_189	78.0391	116.4105	299	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.59404	0.56	0.000620584	NA	4.560707092	NA	0.00842355	NA	NA	NA	0.001270051	293.889	34.92558	27.94409	36.3938	NA	NA	0	30.504126	NA	NA	NA	summer	late	183.955	0.000255	1.4e-05	0.001759	2.592579	0.052823	0.001183	1194	0	284	ERS1309196	ARC
ERR2762146	189_SRF	TARA_189	77.9028	117.1545	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.10149	0.52	0.000620584	NA	4.560707092	NA	0.00842355	NA	NA	NA	0.001270051	363.6485	28.82053	23.11621	29.3207	NA	NA	0	24.424061	4.251771	4.858217	6.154569	summer	middle	47.9959	0.000442	0.00135	0.00305	5.496034	0.213073	0.160065	1212	0	285	ERS1309115	ARC
ERR2762148	191_SRF	TARA_191	71.5955	160.9383	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.48885	-6.08	0.000260443	NA	7.268763781	0.07525	0.008790679	1.06325	1.195806	19.646147	0.001360622	340.44375	28.41685	22.7306	NA	NA	NA	2.777778	25.105613	NA	NA	NA	unknown	unknown	NA	0.020334	0.138858	0.140534	6.44771	5.4281	5.376295	936	0	284	ERS1309221	ARC
ERR2762150	193_SRF	TARA_193	71.0704	174.9916	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	2.4534	-6.92	0.006029853	0	14.03496305	0.125	0.095924451	6.2695	1.614977	30.149509	0.000702537	339.4475	29.0291	23.1614	15.1918	132.8198166	0.000704177	0	26.317622	4.166652	6.270268	5.436314	summer	late	106.53	0.000664	0.00291	0.004585	2.524221	0.286959	0.235155	873	0	289	ERS1309264	ARC
ERR2762153	194_DCM	TARA_194	73.3275	-168.8142	35	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-0.987833	-8.22	0.002943427	0	12.09370343	0.441	0.086454551	1.9045	0.866194	5.566842	0.000713809	396.848083	31.56495	25.370225	23.5982	NA	NA	0	25.627474	NA	NA	NA	summer	late	394.524	0.000491	0.001657	0.003393	3.843304	0.162656	0.110852	853	0	287	ERS1309369	ARC
ERR2762155	194_SRF	TARA_194	73.3833	-168.1333	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-0.585333	-8.11	0.002943427	0	12.09370343	0.126	0.086454551	0.2285	0.361653	1.424261	0.000713809	368.662625	27.442	22.016175	13.8046	NA	NA	0	23.023237	NA	NA	NA	summer	late	130.4511	0.000409	0.001143	0.002825	2.417638	0.170953	0.119149	864	0	289	ERS1309308	ARC
ERR2762157	196_SRF	TARA_196	71.8895	-154.9101	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	2.5694	-8.72	0.0284539	1.604622	3.979379679	0.0865	0.258621321	0.4235	0.430504	2.822912	0.000241071	336.04075	28.60925	22.8182	24.1722	NA	NA	0	26.056278	NA	NA	NA	summer	late	145.0122	0.00234	0.014501	0.016171	4.533623	0.758519	0.706714	822	0	300.5	ERS1309397	ARC
ERR2762159	201_DCM	TARA_201	74.3386	-85.6208	36	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-0.409335	-6.18	0.000747411	5.355932	6.634556611	0.025	0.010224308	2.133	0.6443	4.087196	0.000958759	343.877833	31.947283	25.654808	41.7722	NA	NA	0	26.488036	0.05962	0.052768	0.097868	autumn	early	20.551	0.000513	0.001815	0.003545	3.403455	0.21237	0.128897	657	0.652313606	278	ERS1309532	ARC
ERR2762162	201_MES	TARA_201	74.305	-85.6552	441	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.994025	-6.19	0.000747411	10.238791	6.634556611	NA	0.010224308	NA	NA	NA	0.000958759	233.314	34.342505	27.51832	49.4242	NA	NA	0	29.589181	NA	NA	NA	autumn	early	21.643	0.000276	0.000163	0.001907	NA	0.070992	-0.01248	668	0.512138506	278	ERS1309450	ARC
ERR2762164	201_SRF	TARA_201	74.2987	-85.7806	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-1.32986	-6.21	0.000747411	3.75923	6.634556611	0.0775	0.010224308	1.328	0.526245	2.062045	0.000958759	368.52475	30.70185	24.678167	40.7346	NA	NA	0	24.77155	2.995157	2.691685	4.842096	autumn	early	13.8345	0.000427	0.001221	0.002947	3.00669	0.224574	0.141102	657	0.326156803	278	ERS1309476	ARC
ERR2762167	205_MES	TARA_205	72.4456	-71.8814	491	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.230869	-4.65	0.018947516	22.810319	1.684819688	NA	0.152390116	NA	NA	NA	0.000596423	227.316	34.378169	27.531506	69.2259	NA	NA	0	29.841799	NA	NA	NA	autumn	early	91.7069	0.000263	7.1e-05	0.001814	3.58539	0.065891	0.005183	585	0	296	ERS1309617	ARC
ERR2762169	205_SRF	TARA_205	72.4693	-71.892	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-0.479225	-4.64	0.018947516	3.880872	1.684819688	0.0895	0.152390116	0.411	0.560568	0.298067	0.000596423	353.1935	31.99537	25.7008	15.8867	NA	NA	0	26.388049	NA	NA	NA	autumn	early	9.7492	0.000483	0.001603	0.003335	3.112706	0.242497	0.181788	584	0	296	ERS1309560	ARC
ERR2762171	206_MES	TARA_206	70.9433	-53.5127	411	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	3.03554	-1.71	0.022793755	13.409788	0.170150639	NA	0.19323191	NA	NA	NA	0.000494336	230.0861	34.50669	27.488995	38.3162	NA	NA	0	31.477466	NA	NA	NA	autumn	early	7.5708	0.000304	0.000368	0.002097	3.097493	0.075079	0.01437	560	0.251729518	356	ERS1309687	ARC
ERR2762173	206_SRF	TARA_206	70.9574	-53.5989	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.445315	-1.7	0.022793755	3.615087	0.170150639	0.128	0.19323191	1.24175	0.220883	1.04231	0.000494336	328.54665	32.08329	25.673125	37.4641	NA	NA	0	27.997549	NA	NA	NA	autumn	early	7.7687	0.000593	0.002381	0.004098	2.515363	0.25179	0.191082	560	0.251729518	356	ERS1309642	ARC
ERR2762176	208_SRF	TARA_208	69.1136	-51.5086	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	3.1965	-1.77	0.020453628	1.791002	0.480761975	0.1665	0.259672788	1.916	0.312072	0.819597	0.000453137	303.326	32.99175	26.265	30.485	NA	NA	0	30.183032	NA	NA	NA	autumn	early	16.3515	0.000431	0.001266	0.002978	2.6962	0.121422	0.060714	508	0	347	ERS1309715	ARC
ERR2762178	209_MES	TARA_209	64.7	-52.996	351	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	4.20173	-0.4	0.029433576	10.622333	0.505696426	NA	0.29848822	NA	NA	NA	0.000488831	273.02835	34.59923	27.448865	45.1248	NA	NA	5.666667	32.557611	NA	NA	NA	autumn	middle	39.2126	0.000429	0.001245	0.002966	2.548801	0.113745	0.053037	531	0	365	ERS1309809	ARC
ERR2762180	209_SRF	TARA_209	64.7127	-53.0106	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	2.496125	-0.39	0.029433576	6.131005	0.505696426	NA	0.29848822	NA	NA	NA	0.000488831	323.901563	32.603119	26.011175	14.5225	NA	NA	5.666667	29.303726	1.224595	2.545128	2.727911	autumn	early	15.6846	0.000504	0.00177	0.003484	2.723684	0.23089	0.170181	531	0	365	ERR2762180	ARC
ERR2762183	210_MES	TARA_210	61.5754	-55.9846	391	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	4.791395	-0.5	0.035179306	16.017641	2.06166782	0.134	0.348001957	9.908	0.851461	4.07817	0.000208521	271.8744	34.939595	27.65512	37.6205	NA	NA	0	33.394704	NA	NA	NA	autumn	middle	308.7184	0.00027	0.000142	0.001863	2.284852	0.062254	0.005315	534	0	365	ERS1309881	ARC
ERR2762186	210_SRF	TARA_210	61.5427	-55.9869	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	5.295265	-0.48	0.035179306	8.286479	2.06166782	0.31575	0.348001957	5.8035	0.511975	2.252584	0.000208521	293.84675	34.212769	27.017281	45.5689	NA	NA	0	33.036724	1.704362	1.761859	2.580691	autumn	middle	41.4855	0.000429	0.001252	0.002962	2.274721	0.176337	0.119398	535	0	365	ERS1309836	ARC
ERR594406	22_SRF	TARA_022	39.8386	17.4155	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	17.298758	NA	0.001792418	NA	0.063348597	0.07	0.026501298	0.23125	0.02	1.9913	0.001388038	221.54775	37.839767	27.623392	15.3656	79.81475067	0.000316626	0	48.452198	9.740976	9.902814	7.776924	autumn	middle	51.2518	0.000596	0.002433	0.004119	1.704583	0.16813	0.140201	597	0	365	ERS488448	TT_EPI
ERR594408	23_DCM	TARA_023	42.1735	17.7252	55	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	15.180558	NA	0.001431253	NA	0.077471482	0.01	0.027064617	0.05	0.01	1.0505	0.001387878	224.264417	38.47375	28.613475	18.4584	NA	NA	3.583333	46.915236	0.054743	0.042189	0.041205	autumn	middle	57.9209	0.00037	0.000861	0.002559	1.786458	0.063264	0.035334	582	0	365	ERS478007	TT_EPI
ERR594375	25_DCM	TARA_025	39.3991	19.3997	50	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	15.181967	NA	0.002326648	NA	0.048666991	0.07	0.028696594	0.3595	0.07	1.354	0.001387952	229.908917	38.489083	28.626442	14.0094	72.95928574	0.000136453	0	46.930593	0.04793	0.10434	0.102993	autumn	late	38.5477	0.000327	0.000561	0.00226	1.845	0.059185	0.044578	587	0	365	ERS488518	TT_EPI
ERR594396	25_SRF	TARA_025	39.3888	19.3905	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	18.319192	NA	0.002326648	NA	0.048666991	0	0.028696594	0.03525	0.01	1.0505	0.001387952	217.809833	38.185333	27.633617	13.5684	66.73049164	9.16e-05	0	49.946974	4.662947	10.150782	10.019695	autumn	late	39.754	0.000347	0.000711	0.002397	1.465	0.086187	0.07158	587	0	365	ERS488499	TT_EPI
ERR594405	30_DCM	TARA_030	33.9235	32.8118	70	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	18.61621	NA	0.003270233	0.078824	0.054155687	0.01	0.034886073	NA	0	0.6655	0.001388157	218.75115	39.23456	28.36135	13.8349	45.09284973	0.000191009	2.777778	51.524822	0.152948	0.109544	0.127021	autumn	late	73.8658	0.000336	0.000624	0.002319	1.34975	0.052771	0.044058	595	0	365	ERS478052	TT_EPI
ERR594401	31_SRF	TARA_031	27.16	34.835	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	25.0281	NA	0.011221905	0	0.284178823	0.014	0.040771591	0.036	0.024	0.8825	0.001387113	189.91675	39.96035	27.086225	18.4528	42.8037014	8.23e-05	1.194444	59.715263	20.015134	18.92826	19.825427	winter	early	71.862	0.000362	0.000808	0.002498	1.054375	0.056839	0.04654	632	0	365	ERS488558	TT_EPI
ERR594360	32_DCM	TARA_032	23.4183	37.245	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	26.12925	NA	0.020147547	0.47262	0.00528441	0.01	0.010496082	NA	0.025	0.85	0.001387787	181.501	40.187042	26.917092	12.1137	47.78584671	0.000167967	0	61.353928	0.073201	0.072673	0.074	winter	early	80.7753	0.00038	0.000934	0.002626	1.2725	0.060484	0.051861	648	0	365	ERS488613	TT_EPI
ERR594393	32_SRF	TARA_032	23.36	37.2183	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	25.811708	NA	0.020147547	0.279747	0.00528441	0.014	0.010496082	0	0.018	0.8775	0.001387787	188.341917	39.7709	26.698217	15.588	46.90872192	0.000162701	0	60.383532	21.787103	21.629979	22.025048	winter	early	88.3462	0.000368	0.000851	0.002539	1.11375	0.053638	0.045014	649	0	365	ERS488589,ERS488590	TT_EPI
ERR599350	33_SRF	TARA_033	21.9467	38.2517	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	27.3097	NA	0.01949049	0.253501	0.006859351	0	0.006877633	0.006	0.053	1.12025	0.001387791	183.589125	38.9435	25.59125	17.3849	63.10803223	0.000125009	0	61.002062	14.642101	18.29866	18.778178	winter	early	61.5397	0.000367	0.000851	0.002533	1.2825	0.085863	0.07724	655	0	365	ERS488636	TT_EPI
ERR594390	34_DCM	TARA_034	18.4417	39.8567	60	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	27.558763	NA	0.015265826	0	0.004693778	0.27	0.004066339	0.635	0.09	1.3525	0.001387755	175.509	38.895025	25.47435	15.5123	NA	NA	9.972222	61.240679	0.011577	0.071915	0.079234	winter	early	74.2982	0.000325	0.000569	0.00225	1.42	0.046166	0.037942	672	0	365	ERS488701	TT_EPI
ERR594370	34_SRF	TARA_034	18.3967	39.875	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	27.635025	NA	0.015265826	0	0.004693778	0.02	0.004066339	0.029	0.19	2.6405	0.001387755	183.84625	38.64	25.2559	16.8349	NA	NA	9.972222	60.95672	2.864579	17.794951	19.606008	winter	early	73.7963	0.000367	0.000851	0.00253	1.35125	0.068212	0.059988	672	0	365	ERS488673	TT_EPI
ERR594402	36_DCM	TARA_036	20.8222	63.5133	17	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	25.329231	NA	0.028902045	1.457658	0.002674747	0.51	0.006235578	1.115	0.51	1.4395	0.001387736	206.568833	36.535819	24.403813	23.0626	224.6708984	0.000415422	0	55.50131	2.527903	2.344314	2.393424	winter	late	416.3323	0.000533	0.00202	0.003682	1.606875	0.171298	0.164415	717	0	365	ERS488757	TT_EPI
ERR594369	36_SRF	TARA_036	20.8183	63.5047	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	25.681369	NA	0.028902045	1.545287	0.002674747	0.05	0.006235578	0.1415	0.37	1.143	0.001387736	209.807083	36.525962	24.284594	17.3041	224.6708984	0.000415422	0	55.862371	17.265706	16.011789	16.347212	winter	late	415.5842	0.000534	0.00203	0.003691	1.374375	0.17013	0.163247	717	0	365	ERS488737	TT_EPI
ERR599372	37_MES	TARA_037	20.8457	63.5851	600	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	11.984006	NA	0.028889008	31.290804	0.000920977	0.07	0.005607758	NA	2.91	NA	0.001387737	2.81625	35.672725	27.130513	4.457	233.2970734	0.000445341	0	40.942001	NA	NA	NA	winter	late	422.5596	0.000271	0.000185	0.00187	2.6925	0.014807	0.009033	717	0	365	ERS488791	TT_MES
ERR594386	38_DCM	TARA_038	19.0284	64.5126	25	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	25.607735	NA	0.030032598	0.672791	0.001138785	0.7	0.004277769	1.858	0.42	1.625	0.001387726	189.0233	36.549506	24.3126	25.3921	116.9999161	0.000244287	0	55.851031	1.879871	1.838161	1.848522	winter	late	575.1294	0.000532	0.002011	0.003672	1.61475	0.116339	0.113566	721	0	365	ERS488836,ERS488837	TT_EPI
ERR599379	38_MES	TARA_038	19.0351	64.5638	340	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	14.901445	NA	0.030032598	22.18992	0.001138785	0.69	0.004277769	23.43	2.64	38.94	0.001387726	2.9502	36.014205	26.787485	19.3668	96.30652618	0.00021777	0	44.081967	NA	NA	NA	winter	late	579.3061	0.000336	0.000648	0.002325	2.791	0.027934	0.022408	722	0	365	ERS488867	TT_MES
ERR594400	38_SRF	TARA_038	19.0393	64.4913	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	26.313595	NA	0.030032598	0.632675	0.001138785	0.01	0.004277769	0.4195	0.32	1.278	0.001387726	187.7395	36.618044	24.148331	20.3622	116.9999161	0.000244287	0	56.702698	23.003181	22.492794	22.619571	winter	late	584.8344	0.000442	0.001391	0.003053	1.331	0.09532	0.092547	721	0	365	ERS488813,ERS488814	TT_EPI
ERR594363	39_DCM	TARA_039	18.5839	66.4727	25	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	26.692435	NA	0.0255102	0	0.003323513	0.02	0.004728645	0.0675	0.26	1.2415	0.00138772	187.47615	36.40162	23.87718	29.1818	81.80855179	0.000228897	2.25	56.781133	4.100441	3.788741	3.979407	winter	late	468.2075	0.000408	0.001161	0.002821	1.43775	0.109235	0.105347	724	0	365	ERS488929,ERS488930	TT_EPI
ERR599360	39_MES	TARA_039	18.7341	66.3896	270	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	15.553795	NA	0.0255102	18.560166	0.003323513	2.07	0.004728645	21.22	2.64	38.62	0.00138772	3.12405	35.907681	26.565675	30.1842	80.98583221	0.000207011	2.25	44.566522	NA	NA	NA	spring	early	462.0824	0.000378	0.000935	0.002609	2.75675	0.033413	0.028639	726	0	365	ERS488959	TT_MES
ERR594356	39_SRF	TARA_039	18.5918	66.622	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	27.089113	NA	0.0255102	0	0.003323513	0.01	0.004728645	0.0425	0.23	1.515	0.00138772	193.065313	36.310588	23.677262	19.6168	84.67464066	0.00023667	2.25	57.099474	26.627413	24.686569	25.819957	winter	late	464.6231	0.000383	0.000986	0.002645	1.188594	0.098268	0.094603	724	0	365	ERS488892,ERS488893	TT_EPI
ERR594371	41_DCM	TARA_041	14.5536	70.0128	60	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	27.374181	NA	0.020277846	0	0.004698874	0.07	0.004047238	7.847	0.34	3.5765	0.001387699	164.440063	36.503531	23.734719	20.922	43.73920631	9.07e-05	19.027778	57.705	0.606707	0.613843	0.577686	spring	early	245.2806	0.000336	0.000662	0.002323	1.377813	0.050965	0.046491	735	0	365	ERS489084	TT_EPI
ERR594384	41_SRF	TARA_041	14.6059	69.9776	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	29.151544	NA	0.020277846	0	0.004698874	0	0.004047238	0.057	0.14	1.3865	0.001387699	187.306625	36.0499	22.799819	11.3189	47.64060783	0.000157328	19.027778	58.978093	34.540752	34.947027	32.888595	spring	early	249.7827	0.000329	0.000612	0.002269	0.965625	0.039295	0.03482	735	0	365	ERS489059	TT_EPI
ERR594413	42_DCM	TARA_042	5.9998	73.9067	80	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	27.9561	NA	0.015891551	0	0.004952658	0.15	0.010871042	0.741	0.34	2.7335	0.001387698	137.998083	35.044342	22.474092	18.4882	28.92443657	NA	8	56.296954	NA	0.250837	0.233593	spring	early	52.5093	0.000335	0.000664	0.002313	1.42	0.045335	0.053816	731	0	365	ERS489148	TT_EPI
ERR594398	42_SRF	TARA_042	6.0001	73.8955	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	30.12785	NA	0.015891551	0	0.004952658	0	0.010871042	0.022	0.08	2.171	0.001387698	188.79575	34.56775	21.358942	13.9222	NA	NA	8	57.855209	NA	36.272991	33.779381	spring	early	52.8424	0.000312	0.000506	0.002151	0.966875	0.02689	0.035372	731	0	365	ERS489113	TT_EPI
ERR599356	45_SRF	TARA_045	0.0033	71.6428	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	30.59345	NA	0.016592899	1.826529	0.005533795	0.02	0.007288604	NA	1.94	NA	0.001320691	186.0215	35.0481	21.558975	14.558	37.24840927	0.000184778	0	59.065736	NA	37.711128	36.234182	spring	early	153.5512	0.000309	0.000487	0.002136	0.915	0.022849	0.029917	727	0	365	ERS489257	TT_EPI
ERR594376	46_SRF	TARA_046	-0.6625	73.161	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	30.12475	NA	0.016438504	0.436989	0.00839148	0	0.009120126	0.047	0.1	1.947	0.001279924	185.755	35.1113	21.76745	12.9179	50.64792252	0.000243189	3.5	58.657399	34.954927	31.275839	31.731986	autumn	early	1.3428	0.000527	0.001992	0.003641	0.93875	0.084946	0.097604	726	0	365	ERS489285	TT_EPI
ERR599344	48_SRF	TARA_048	-9.3921	66.4228	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	29.818108	NA	0.013870245	0	0.008117013	0.01	0.006999157	0.07475	0.08	2.22425	0.001209446	187.35	34.184183	21.176983	24.5376	33.13836288	0.000214772	3.777778	56.960341	36.077188	31.364512	33.879448	autumn	early	521.5773	0.000294	0.000392	0.002033	0.84	0.045076	0.028455	712	0	365	ERS489332	TT_EPI
ERR594394	52_DCM	TARA_052	-16.9534	53.9601	75	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	25.212642	NA	0.01050256	0.532471	0.006946565	0.03	0.005936726	0.4675	0.18	2.824	0.001048266	194.81775	34.896833	23.203642	38.1381	39.10061264	0.000139624	2.138889	53.187127	1.076232	0.912765	1.023413	autumn	middle	412.5201	0.000352	0.000788	0.002434	1.180417	0.030475	0.056042	678	0	365	ERS489603	TT_EPI
ERR599358	52_SRF	TARA_052	-16.957	53.9801	5	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	27.956483	NA	0.01050256	0.532471	0.006946565	0	0.005936726	0	0.12	2.666	0.001048266	191.628083	34.54545	22.067625	28.749	39.59863281	0.000134891	2.138889	55.536084	30.189334	25.60393	28.707699	autumn	middle	409.6259	0.000327	0.000615	0.002258	0.977083	0.021469	0.047036	678	0	365	ERS489552	TT_EPI
ERR599371	56_MES	TARA_056	-15.3379	43.2948	1000	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	6.195775	NA	0.011774442	NA	0.010581372	NA	0.005387648	NA	NA	NA	0.001008999	88.88975	34.8293	27.4047	10.9825	43.84181976	9.53e-05	1.25	34.840155	NA	NA	NA	winter	early	102.9245	0.000248	0	0.00171	2.2275	-0.025633	0.000566	673	0	365	ERS489729	TT_MES
ERR599376	56_SRF	TARA_056	-15.3424	43.2965	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	27.296125	NA	0.011774442	2.149334	0.010581372	NA	0.005387648	0	NA	2.812112	0.001008999	193.165	35.0302	22.646025	10.9825	43.84181976	9.53e-05	1.25	55.527713	23.244613	23.263685	22.910776	winter	early	102.9245	0.000324	0.000592	0.00224	0.90125	0.019512	0.04703	673	0	365	ERS489724	TT_EPI
ERR599362	58_DCM	TARA_058	-17.2855	42.2866	66	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	25.113925	NA	0.011099947	0.820273	0.013670703	0.03	0.00756411	0.063072	0	2.513803	0.001000181	181.101938	35.162694	23.430525	21.7602	56.24668884	0.000147175	0	53.4409	0.115195	0.113908	0.113521	winter	early	176.4077	0.000375	0.000939	0.002588	1.135	0.042033	0.072356	666	0	365	ERS489867	TT_EPI
