OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
GU061848.1.1488	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1 clade	Candidatus Actinomarina	uncultured bacterium
GU061861.1.1423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured bacterium
GU061873.1.1422	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	uncultured bacterium
GU061890.1.1424	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured bacterium	NA
GU061934.1.1446	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium
GU061946.1.1432	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	uncultured bacterium	NA
GU061948.1.1441	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	uncultured bacterium	NA
GU061952.1.1426	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter	uncultured bacterium
GU061953.1.1425	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured bacterium
GU061975.1.1447	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Deep 1	uncultured bacterium	NA
GU061985.1.1501	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	uncultured bacterium
GU061987.1.1504	Bacteria	Proteobacteria	Skagenf62	uncultured bacterium	NA	NA	NA
GU062006.1.1433	Bacteria	Cyanobacteria	Chloroplast	uncultured bacterium	NA	NA	NA
GU062025.1.1492	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Saprospira	uncultured bacterium
GU070682.1.1464	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	uncultured bacterium
GU070683.1.1440	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	uncultured bacterium
GU070684.1.1453	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	uncultured bacterium
GU070688.1.1453	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	uncultured bacterium
GU070693.1.1475	Bacteria	Proteobacteria	Gammaproteobacteria	GB102	uncultured bacterium	NA	NA
GU072591.1.1397	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus faecimaris
GU083672.1.1517	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	uncultured bacterium
GU086202.1.1390	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Martelella	Martelella sp. AD-3
GU108528.1.1398	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonadaceae bacterium
GU108531.1.1408	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	J8P41000-1F04	uncultured gamma proteobacterium	NA
GU108539.1.1373	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured alpha proteobacterium
GU108541.1.1383	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	uncultured Chromatiaceae bacterium
GU108542.1.1387	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	uncultured Pseudoalteromonas sp.
GU108547.1.1398	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	uncultured gamma proteobacterium
GU108549.1.1392	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured	uncultured Alteromonas sp.
GU108550.1.1391	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	uncultured	uncultured gamma proteobacterium
GU108551.1.1401	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	uncultured Pseudoalteromonadaceae bacterium
GU108553.1.1390	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	uncultured gamma proteobacterium
