OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
AACY020016122.205.1491	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	marine metagenome	NA
AACY020049127.555.2033	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	marine metagenome
AACY020057074.347.1847	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9 marine group	marine metagenome	NA
AACY020061762.7.1504	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	marine metagenome
AACY020065672.95.1597	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	marine metagenome
AACY020075636.150.1670	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	marine metagenome	NA
AACY020080403.492.1950	Bacteria	Cyanobacteria	Chloroplast	marine metagenome	NA	NA	NA
AACY020095396.2822.4287	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	marine metagenome	NA	NA
AACY020105546.1130.2631	Bacteria	Actinobacteria	Actinobacteria	PeM15	marine metagenome	NA	NA
AACY020119224.701.2163	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	marine metagenome	NA
AACY020125801.1205.2714	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020125842.55.1493	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020147130.655.2083	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020159143.753.2263	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	MWH-UniP1 aquatic group	marine metagenome
AACY020170354.114.1617	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	marine metagenome
AACY020170993.10.1544	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	marine metagenome	NA
AACY020187844.576.1995	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020207233.1273.2814	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY020239062.128.1636	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	marine metagenome
AACY020259437.2024.3522	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	uncultured	marine metagenome
AACY020273010.4139.5621	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	marine metagenome
AACY020276549.377.1886	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020281370.38.1481	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020283857.132.1585	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Deep 1	marine metagenome	NA
AACY020288370.770.2267	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996 marine group	marine metagenome	NA
AACY020292957.227.1544	Bacteria	Parcubacteria	marine metagenome	NA	NA	NA	NA
AACY020294209.1241.2637	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus	marine metagenome
AACY020295835.2107.3611	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	marine metagenome
AACY020302266.213.1678	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistlia	marine metagenome
AACY020309696.232.1729	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	uncultured	marine metagenome
AACY020310490.1043.2549	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	marine metagenome
AACY020311045.179.1696	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182 clade	marine metagenome	NA
AACY020311334.1.1454	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	marine metagenome
AACY020311632.2028.3468	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	marine metagenome
AACY020312918.217.1514	Bacteria	Parcubacteria	Candidatus Campbellbacteria	marine metagenome	NA	NA	NA
AACY020324837.147.1652	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	marine metagenome
AACY020371335.89.1595	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	uncultured	marine metagenome
AACY020393406.361.1862	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020398456.2130.3630	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020403290.735.2190	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Deep 1	marine metagenome	NA
AACY020430088.197.1720	Bacteria	Proteobacteria	AEGEAN-245	marine metagenome	NA	NA	NA
AACY020443294.193.1674	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	marine metagenome
AACY020454769.289.1798	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020458202.2977.4452	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group	marine metagenome
AACY020458788.943.2444	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	marine metagenome
AACY020465546.1.1481	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquibacter	marine metagenome
AACY020481938.3418.4929	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020487638.121.1594	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group	marine metagenome
AACY020490277.719.2228	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020495408.613.2120	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	marine metagenome
AACY020518560.687.2227	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY020521239.1.1481	Archaea	Woesearchaeota (DHVEG-6)	marine metagenome	NA	NA	NA	NA
AACY020524983.300.1803	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	DS001	marine metagenome
AACY020525321.327.1835	Bacteria	Bacteroidetes	Bacteroidetes Incertae Sedis	Order III	uncultured	marine metagenome	NA
AACY020534669.81.1545	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	marine metagenome
AACY020536637.961.2423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	marine metagenome
AACY020544257.531.2038	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	marine metagenome
AACY020545456.443.1983	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY020548802.136.1646	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020549891.3846.5359	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020551516.3485.4953	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	marine metagenome	NA
AACY020552977.734.2233	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum	marine metagenome
AACY020553637.768.2309	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY020553861.2031.3562	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020555764.489.1966	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	PS1 clade	marine metagenome	NA
AACY020555882.2572.4023	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	marine metagenome	NA
AACY020556376.977.2486	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	marine metagenome
AACY020558197.3281.4799	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	marine metagenome
AACY020562322.3851.5364	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020563509.792.2305	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY020564058.27.1569	Bacteria	Marinimicrobia (SAR406 clade)	marine metagenome	NA	NA	NA	NA
AACY023372270.147.1550	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales Incertae Sedis	Candidatus Endoecteinascidia	marine metagenome
AACY023403887.141.1584	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	marine metagenome
AACY023524552.82.1556	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	PS1 clade	marine metagenome	NA
AACY023749576.260.1668	Bacteria	Gracilibacteria	marine metagenome	NA	NA	NA	NA
AACY023776576.251.1545	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	marine metagenome
AACY023784545.83.1527	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	uncultured	marine metagenome
AACY023820409.144.1393	Bacteria	Bacteroidetes	ML602M-17	marine metagenome	NA	NA	NA
AACY023835578.1.1360	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	marine metagenome	NA
AACY023843224.1.1440	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria Incertae Sedis	Unknown Family	uncultured	marine metagenome
AACY023843647.64.1264	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	marine metagenome
AACY023859826.38.1493	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	marine metagenome	NA
AACY023936572.36.1480	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	marine metagenome	NA
AACY023937770.20.1486	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus	marine metagenome
AACY023938188.20.1536	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	marine metagenome	NA
AACY023938218.20.1535	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudohongiella	marine metagenome
AACY023938893.20.1523	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9 marine group	marine metagenome	NA
AACY024102418.157.1623	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group	marine metagenome
AAMO01000005.167902.169347	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Pseudooceanicola batsensis HTCC2597
AAMQ01000012.1.1850	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis	Oceanicaulis sp. HTCC2633
AANC01000011.208.1734	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella blandensis MED217
AANE01000003.167573.169112	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas sp. MED121
AANZ01000021.102759.104249	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula marina DSM 3645
AAVV01000015.29618.31150	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus	marine gamma proteobacterium HTCC2080
AAXW01000006.18138.19604	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Cyanothece sp. CCY0110	NA
AAYA01000001.38603.40031	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sagittula	Sagittula stellata E-37
AB001521.1.1560	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Ornithodoros moubata symbiont A
AB013257.1.1501	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	uncultured gamma proteobacterium	NA	NA
AB013271.1.1517	Bacteria	Hydrogenedentes	uncultured bacterium	NA	NA	NA	NA
AB013824.1.1531	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Psychrobium	uncultured gamma proteobacterium
AB013825.1.1526	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Psychrobium	uncultured gamma proteobacterium
AB013829.1.1502	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	Pseudomonas sp.	NA
AB013830.1.1522	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	uncultured delta proteobacterium	NA	NA
AB015246.1.1479	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Temperatibacteraceae	Temperatibacter	uncultured alpha proteobacterium
AB015250.1.1500	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	uncultured	uncultured gamma proteobacterium
AB015255.1.1511	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	uncultured gamma proteobacterium
AB015257.1.1481	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	unidentified epsilon proteobacterium
AB015263.1.1483	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	uncultured	uncultured Cytophaga sp.
AB015264.1.1483	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	uncultured	uncultured Cytophaga sp.
AB015265.1.1485	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	uncultured	uncultured Cytophaga sp.
AB015518.1.1438	Bacteria	Gracilibacteria	unidentified proteobacterium	NA	NA	NA	NA
AB015519.1.1494	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	uncultured gamma proteobacterium
AB015520.1.1455	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured alpha proteobacterium
AB015522.1.1513	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	uncultured alpha proteobacterium	NA
AB015524.1.1488	Bacteria	Bacteroidetes	Bacteroidetes Incertae Sedis	Order II	Rhodothermaceae	uncultured	uncultured Cytophaga sp.
AB015528.1.1485	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	uncultured	uncultured Cytophaga sp.
AB015533.1.1482	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	BD2-3	uncultured bacterium	NA
AB015537.1.1497	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	BD2-7	uncultured gamma proteobacterium	NA
AB015541.1.1497	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	uncultured	uncultured gamma proteobacterium
AB015544.1.1516	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	uncultured bacterium	NA	NA
AB015547.1.1517	Bacteria	Proteobacteria	Gammaproteobacteria	BD3-1	uncultured gamma proteobacterium	NA	NA
AB015559.1.1530	Bacteria	Omnitrophica	uncultured bacterium	NA	NA	NA	NA
AB015569.1.1420	Bacteria	Parcubacteria	uncultured bacterium	NA	NA	NA	NA
AB015579.1.1449	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria Incertae Sedis	Unknown Family	uncultured	uncultured alpha proteobacterium
AB015580.1.1448	Bacteria	Parcubacteria	uncultured bacterium	NA	NA	NA	NA
AB015587.1.1490	Bacteria	Bacteroidetes	Bacteroidetes Incertae Sedis	Order II	Rhodothermaceae	uncultured	uncultured Cytophaga sp.
AB015937.1.1497	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Imperialibacter	Microscilla sp. Nano 1
AB016052.1.1528	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. NIBH P1H22
AB016054.1.1536	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter pacificensis
AB016055.1.1531	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter pacificensis
AB016268.1.1524	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Alteromonas sp.
AB019748.1.1443	Archaea	Diapherotrites	unidentified archaeon	NA	NA	NA	NA
AB019752.1.1370	Archaea	Woesearchaeota (DHVEG-6)	unidentified archaeon	NA	NA	NA	NA
AB019753.1.1368	Archaea	Woesearchaeota (DHVEG-6)	unidentified archaeon	NA	NA	NA	NA
AB019755.1.1375	Archaea	Woesearchaeota (DHVEG-6)	unidentified archaeon	NA	NA	NA	NA
AB019756.1.1375	Archaea	Woesearchaeota (DHVEG-6)	unidentified archaeon	NA	NA	NA	NA
AB021400.1.1522	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Phaseolibacter	Phaseolibacter flectens
AB021704.1.1333	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	uncultured marine bacterium	NA	NA
AB023361.1.1511	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Demequina	Cellulomonas sp. IFO16240
AB023370.1.1505	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. IFO 16249
AB023373.1.1434	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. IFO16252
AB026946.1.1512	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. NK-1
AB027236.1.1304	Bacteria	Cyanobacteria	Chloroplast	Karenia mikimotoi	NA	NA	NA
AB027342.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Tolypocladium japonicum	NA
AB027344.1.1439	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Tolypocladium inegoense	NA
AB029360.1.1708	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Abies homolepis	NA
AB033945.1.1454	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp.
AB035555.1.1503	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured	uncultured marine bacterium
AB035556.1.1479	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia	uncultured marine bacterium
AB038023.1.1511	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio	Vibrio sp. EN276
AB040466.1.1494	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured	Alteromonas sp. D
AB040467.1.1503	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola	Pseudoalteromonas sp. R
AB042413.1.1467	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SUP05 cluster	Maorithyas hadalis gill thioautotrophic symbiont I	NA
AB053125.1.1535	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp. I4
AB053126.1.1535	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp. I2
AB053131.1.1534	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp. Tak-1
AB054157.1.1410	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	uncultured alpha proteobacterium HOC23	NA
AB055794.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. Edeep-1
AB058899.1.1479	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Aureispira	Saprospira sp. SS90-1
AB058905.1.1486	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Flexibacter sp. IUB42
AB058911.1.1508	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Legionella sp. IUB43
AB059263.1.1511	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Psychrobium	gamma proteobacterium PS12-4
AB062814.1.1415	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Diplosphaera	uncultured bacterium
AB063324.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola	Algicola sagamiensis
AB071990.1.1532	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	uncultured Cycloclasticus sp.
AB073590.1.1392	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Cytophaga sp. I-1858
AB078042.1.1477	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix	Crocinitomix catalasitica
AB078056.1.1483	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	Flexibacter litoralis
AB078073.1.1475	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga	Marivirga tractuosa
AB078079.1.1474	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum	Marinoscillum furvescens
AB078082.1.1479	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	uncultured	Marivirga sericea
AB079635.1.1427	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum strictum
AB081580.1.1260	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacteriaceae bacterium A46
AB086226.1.1529	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	biphenyl-degrading bacterium BP-PH
AB086227.1.1537	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptuniibacter	Neptuniibacter sp. CAR-SF
AB086228.1.1536	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	dibenzofuran-degrading bacterium DBF-MAK
AB088635.1.1497	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Aureispira	Saprospira sp. SS98-5
AB094458.1.1462	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. MJYP.25.32
AB094597.1.1499	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella surugensis
AB099937.1.1332	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus	uncultured bacterium
AB099939.1.1297	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SUP05 cluster	uncultured bacterium	NA
AB099987.1.1200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
AB099992.1.1425	Archaea	Thaumarchaeota	Marine Group I	Unknown Order	Unknown Family	Candidatus Nitrosopumilus	uncultured bacterium
AB100002.1.1339	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	uncultured bacterium
AB100003.1.1328	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	uncultured bacterium
AB100005.1.1406	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	uncultured bacterium
AB100008.1.1212	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Pseudahrensia	uncultured bacterium
AB100481.1.1513	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	uncultured Clostridiaceae bacterium
AB106120.1.1485	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	OCS116 clade	alpha proteobacterium PWB3	NA
AB111107.1.1452	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Telmatospirillum	proteobacterium LS-1
AB112465.1.1450	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	uncultured alpha proteobacterium
AB114235.1.1445	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 12	Clostridium sp. B905-1
AB116488.1.991	Archaea	Bathyarchaeota	uncultured crenarchaeote	NA	NA	NA	NA
AB118230.1.1486	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter	Flavobacterium sp. PAMU-2.98
AB122146.1.1435	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	Clostridium sp. DC1
AB125062.1.1482	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Owenweeksia hongkongensis
AB125367.1.1472	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas pachastrellae
AB128884.1.1520	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	27F-1492R	uncultured bacterium	NA
AB128892.1.1504	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	uncultured bacterium
AB159202.1.1413	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	iodide-oxidizing bacterium YS-11
AB162002.1.1469	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	Thalassotalea agarivorans
AB166898.1.1477	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. TNB I57
AB167063.1.1460	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. SB J93
AB174834.1.1248	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium	Rhodocyclaceae bacterium RR76
